title,overview,release_date,Year,Month,Day,vote_average,vote_count,popularity,production_companies,runtime,budget,revenue,profit,ROI,genres,Action,Adventure,Science Fiction,Drama,Thriller,Comedy,Animation,Fantasy,Horror,Romance,Mystery,Documentary,Music,Western,Crime
Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,2010,7,15,8.364,34529,86.51,"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",148,160,825,665,4.2,"['Action', 'Science Fiction', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",2010-02-14,2010,2,14,8.2,22341,52.881,"['Phoenix Pictures', 'Paramount', 'Appian Way', 'Sikelia Productions', 'Mandate International']",138,80,294,214,2.7,"['Drama', 'Thriller', 'Mystery']",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",2010-04-28,2010,4,28,6.834,19768,73.617,"['Marvel Studios', 'Fairview Entertainment']",124,200,623,423,2.1,"['Adventure', 'Action', 'Science Fiction']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",2010-11-17,2010,11,17,7.764,17800,104.424,"['Warner Bros. Pictures', 'Heyday Films']",146,250,954,704,2.8,"['Adventure', 'Fantasy']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",2010-07-08,2010,7,8,7.228,14158,56.41,"['Illumination', 'Universal Pictures']",95,69,533,464,6.7,"['Family', 'Animation', 'Comedy']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16,2010,6,16,7.792,13791,60.254,"['Pixar', 'Walt Disney Pictures']",103,200,1066,866,4.3,"['Animation', 'Family', 'Comedy']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Black Swan,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,2010-12-03,2010,12,3,7.673,13576,30.719,"['Fox Searchlight Pictures', 'Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures']",108,13,329,316,24.3,"['Drama', 'Thriller', 'Horror']",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Alice in Wonderland,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",2010-03-03,2010,3,3,6.627,13162,52.502,"['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']",108,200,1025,825,4.1,"['Family', 'Fantasy', 'Adventure']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",2010-03-18,2010,3,18,7.813,12101,50.788,"['DreamWorks Animation', 'Paramount']",98,165,494,329,2.0,"['Fantasy', 'Adventure', 'Animation', 'Family']",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
The Social Network,"The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.",2010-10-01,2010,10,1,7.358,11202,44.149,"['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']",121,40,224,184,4.6,['Drama'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",2010-03-22,2010,3,22,7.12,11005,30.203,"['Marv Films', 'Lionsgate', 'Plan B Entertainment', 'Mandate International']",117,28,96,68,2.4,"['Action', 'Crime']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010-11-24,2010,11,24,7.6,10555,86.221,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",100,260,592,332,1.3,"['Animation', 'Family']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
