Title,Overview,Release Date,Vote Average,Vote Count,Runtime,Budget,Revenue,Popularity,Production Countries,Production Companies,Genres
Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,8.364,34529,148,160000000,825532764,86.51,"['United Kingdom', 'United States of America']","['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']","['Action', 'Science Fiction', 'Adventure']"
Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",2010-02-14,8.2,22341,138,80000000,294800000,52.881,['United States of America'],"['Phoenix Pictures', 'Paramount', 'Appian Way', 'Sikelia Productions', 'Mandate International']","['Drama', 'Thriller', 'Mystery']"
Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",2010-04-28,6.834,19768,124,200000000,623933331,73.617,['United States of America'],"['Marvel Studios', 'Fairview Entertainment']","['Adventure', 'Action', 'Science Fiction']"
Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",2010-11-17,7.764,17800,146,250000000,954305868,104.424,"['United Kingdom', 'United States of America']","['Warner Bros. Pictures', 'Heyday Films']","['Adventure', 'Fantasy']"
Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",2010-07-08,7.228,14158,95,69000000,533679475,56.41,['United States of America'],"['Illumination', 'Universal Pictures']","['Family', 'Animation', 'Comedy']"
Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16,7.792,13791,103,200000000,1066969703,60.254,['United States of America'],"['Pixar', 'Walt Disney Pictures']","['Animation', 'Family', 'Comedy']"
Black Swan,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,2010-12-03,7.673,13576,108,13000000,329398046,30.719,['United States of America'],"['Fox Searchlight Pictures', 'Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures']","['Drama', 'Thriller', 'Horror']"
Alice in Wonderland,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",2010-03-03,6.627,13162,108,200000000,1025467110,52.502,['United States of America'],"['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']","['Family', 'Fantasy', 'Adventure']"
How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",2010-03-18,7.813,12101,98,165000000,494879471,50.788,['United States of America'],"['DreamWorks Animation', 'Paramount']","['Fantasy', 'Adventure', 'Animation', 'Family']"
The Social Network,"The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.",2010-10-01,7.358,11202,121,40000000,224920315,44.149,['United States of America'],"['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']",['Drama']
Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",2010-03-22,7.12,11005,117,28000000,96188903,30.203,"['United Kingdom', 'United States of America']","['Marv Films', 'Lionsgate', 'Plan B Entertainment', 'Mandate International']","['Action', 'Crime']"
Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010-11-24,7.6,10555,100,260000000,592461732,86.221,['United States of America'],"['Walt Disney Animation Studios', 'Walt Disney Pictures']","['Animation', 'Family']"
The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",2010-06-23,6.215,8229,124,68000000,698491347,59.064,['United States of America'],"['Summit Entertainment', 'Temple Hill Entertainment', 'Imprint Entertainment', 'Maverick Films', 'Sunswept Entertainment']","['Adventure', 'Fantasy', 'Drama', 'Romance']"
The King's Speech,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",2010-11-26,7.74,8154,118,15000000,414211549,24.441,"['United Kingdom', 'United States of America']","['The Weinstein Company', 'UK Film Council', 'Momentum Pictures', 'Aegis Film Fund', 'Molinare Investment', 'FilmNation Entertainment', 'See-Saw Films', 'Bedlam Productions']","['Drama', 'History']"
The Expendables,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",2010-08-03,6.228,7233,103,80000000,274470394,78.31,"['Bulgaria', 'United States of America']","['Nimar Studios', 'Rogue Marble', 'Millennium Media', 'Nu Image', 'Lionsgate', 'Thunder Road']","['Thriller', 'Adventure', 'Action']"
Scott Pilgrim vs. the World,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",2010-08-12,7.47,7161,113,85000000,48000000,47.584,"['Japan', 'United Kingdom', 'United States of America']","['Marc Platt Productions', 'Big Talk Productions', 'Closed on Mondays Entertainment', 'dentsu']","['Action', 'Comedy', 'Romance']"
127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,2010-11-12,7.068,7018,94,18000000,35692920,24.843,"['France', 'United Kingdom', 'United States of America']","['Fox Searchlight Pictures', 'Pathé', 'Everest Entertainment', 'HandMade Films', 'Film4 Productions', 'Cloud Eight Films', 'Dune Entertainment']","['Adventure', 'Drama', 'Thriller']"
Percy Jackson & the Olympians: The Lightning Thief,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",2010-02-01,6.2,6971,118,95000000,226497209,58.895,['United States of America'],"['1492 Pictures', 'Sunswept Entertainment', 'Dune Entertainment']","['Adventure', 'Fantasy', 'Family']"
Shrek Forever After,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",2010-05-16,6.352,6763,93,165000000,752600867,79.352,['United States of America'],"['DreamWorks Animation', 'Paramount']","['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']"
TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",2010-12-14,6.46,6653,125,170000000,400062763,37.543,['United States of America'],"['Walt Disney Pictures', 'Sean Bailey Productions']","['Adventure', 'Action', 'Science Fiction']"
Easy A,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",2010-09-16,6.81,6489,93,8000000,75026327,24.957,['United States of America'],"['Screen Gems', 'Olive Bridge Entertainment']",['Comedy']
Prince of Persia: The Sands of Time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",2010-05-19,6.261,6339,116,200000000,336365676,34.747,['United States of America'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films']","['Adventure', 'Fantasy', 'Action']"
Megamind,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",2010-10-28,6.962,6295,96,130000000,321885765,48.129,['United States of America'],"['DreamWorks Animation', 'Pacific Data Images']","['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
RED,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",2010-10-13,6.685,6287,111,58000000,199000000,32.396,"['Canada', 'United States of America']","['di Bonaventura Pictures', 'DC Comics', 'Summit Entertainment']","['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
Clash of the Titans,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",2010-03-26,5.882,5867,106,125000000,493214993,36.74,['United States of America'],"['The Zanuck Company', 'Legendary Pictures', 'Thunder Road', 'Moving Picture Company', 'Warner Bros. Pictures']","['Adventure', 'Fantasy', 'Action']"
The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",2010-01-14,6.781,5641,118,80000000,157107755,26.322,['United States of America'],"['Alcon Entertainment', 'Silver Pictures']","['Action', 'Thriller', 'Science Fiction']"
Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",2010-06-24,6.36,5582,102,80000000,271430189,57.395,['United States of America'],"['Columbia Pictures', 'Relativity Media', 'Sony Pictures', 'Happy Madison Productions']",['Comedy']
The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",2010-06-10,6.527,5551,140,40000000,359126022,38.813,"['China', 'United States of America']","['Jerry Weintraub Productions', 'Columbia Pictures', 'China Film Group', 'Overbrook Entertainment', 'Sony Pictures', 'Zwart Arbeid']","['Action', 'Adventure', 'Drama', 'Family']"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",2010-12-02,6.4,5198,113,155000000,415686217,40.335,"['United Kingdom', 'United States of America']","['Fox 2000 Pictures', 'Walden Media']","['Adventure', 'Family', 'Fantasy']"
Salt,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",2010-07-21,6.398,5113,100,110000000,293329073,34.395,['United States of America'],"['Wintergreen Productions', 'Columbia Pictures', 'Relativity Media', 'di Bonaventura Pictures']","['Action', 'Mystery', 'Thriller']"
The Tourist,"American tourist Frank meets mysterious British woman Elsie on the train to Venice. Romance seems to bud, but there's more to her than meets the eye.",2010-12-08,6.177,5100,103,100000000,278731369,21.178,"['France', 'Italy', 'United Kingdom', 'United States of America']","['Columbia Pictures', 'Spyglass Entertainment', 'Peninsula Films', 'StudioCanal', 'GK Films', 'Cineroma SRL', 'Mandate International']","['Action', 'Thriller', 'Romance']"
Due Date,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",2010-11-03,6.35,5044,95,65000000,211780824,19.525,['United States of America'],"['Legendary Pictures', 'Green Hat Films', 'Warner Bros. Pictures']","['Comedy', 'Drama']"
True Grit,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",2010-12-22,7.301,4893,110,38000000,252276927,27.133,['United States of America'],"['Paramount', 'Scott Rudin Productions', 'Mike Zoss Productions', 'Skydance']","['Drama', 'Adventure', 'Western']"
Love & Other Drugs,"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",2010-11-22,7.037,4722,112,30000000,102820008,33.274,['United States of America'],"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Stuber Productions', 'Bedford Falls Productions', 'Dune Entertainment', '20th Century Fox']","['Drama', 'Comedy', 'Romance']"
The Sorcerer's Apprentice,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",2010-07-13,6.107,4640,109,150000000,215283742,32.204,['United States of America'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions', 'Junction Entertainment']","['Fantasy', 'Adventure', 'Action']"
The Town,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",2010-09-15,7.2,4619,125,37000000,154026136,34.546,"['United Kingdom', 'United States of America']","['Legendary Pictures', 'GK Films', 'Thunder Road', 'Warner Bros. Pictures']","['Crime', 'Drama', 'Thriller']"
